outcome,analysis,population,exposure_definition,severity_adjustment,weight_strategy,contrast,estimate_type,estimate,CI_lower,CI_upper,interpretation_flag
365-day mortality,IPSW Model 2 Cox,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,untrimmed,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1307885137996874,1.0390575015652495,1.2306178060550854,prespecified sensitivity; not a replacement for primary result
365-day mortality,IPSW Model 2 Cox,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,untrimmed,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.440326381860811,1.331550753958669,1.557987992659458,prespecified sensitivity; not a replacement for primary result
365-day mortality,IPSW Model 2 Cox,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,untrimmed,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.428788270348771,1.2990566408485626,1.5714756826559444,prespecified sensitivity; not a replacement for primary result
365-day mortality,IPSW Model 2 Cox,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_1_99,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.121023181089354,1.0297106318284195,1.2204331330523712,prespecified sensitivity; not a replacement for primary result
365-day mortality,IPSW Model 2 Cox,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_1_99,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.432371861574888,1.3238450797645223,1.5497955019000051,prespecified sensitivity; not a replacement for primary result
365-day mortality,IPSW Model 2 Cox,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_1_99,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.4199011678597195,1.2905356778313697,1.5622344745069772,prespecified sensitivity; not a replacement for primary result
365-day mortality,IPSW Model 2 Cox,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_5_95,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1111031334932646,1.018753306550126,1.2118244577180248,prespecified sensitivity; not a replacement for primary result
365-day mortality,IPSW Model 2 Cox,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_5_95,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.4329149412937037,1.3224641276745854,1.55259049074787,prespecified sensitivity; not a replacement for primary result
365-day mortality,IPSW Model 2 Cox,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_5_95,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.4199687814125515,1.2878412009449276,1.5656521461705202,prespecified sensitivity; not a replacement for primary result
365-day mortality,IPSW weighted fixed-horizon logistic g-computation,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,untrimmed,reference,standardized risk,0.14300809300745793,,,point estimate sensitivity; no bootstrap CI requested in this batch
365-day mortality,IPSW weighted fixed-horizon logistic g-computation,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,untrimmed,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,standardized risk,0.15737589670083418,,,point estimate sensitivity; no bootstrap CI requested in this batch
